Senin	08.00–14.00",Privat,1 Orang
13,SWARA NARWASTU School Of Music & Enterprise,Kursus Musik,"Jl. Raya Tidar No.101b, Lowokwaru, Kec. Sukun, Kota Malang, Jawa Timur 65146",-7.9602672,112.6109771,0817-384-069,https://business.google.com/website/swara-narwastu-school-of-music-enterprise,-,-,Siang,-,-,-,Hari Kerja,"Selasa	11.00–19.00
Rabu	11.00–19.00
Kamis	11.00–19.00
Jumat	11.00–19.00
Sabtu	12.00–17.00
Minggu	Tutup
Senin	11.00–19.00",Kelas,15 Orang
14,ERMS Music & Art School,Kursus Musik,"Ruko WOW Blok N/Y 1 No, 6, Sawojajar, Kedungkandang, Malang City, East Java 65139",-7.9653063,112.6404386,0821-6559-2012,-,-,-,Pagi,-,-,-,Setiap Hari,"Selasa	08.00–20.00
Rabu	08.00–20.00
Kamis	08.00–20.00
Jumat	08.00–20.00
Sabtu	08.00–20.00
Minggu	08.00–20.00
Senin	08.00–20.00",Kelas,15 Orang
15,Tangga Nada Music Center,Kursus Musik,"Jl. Pulau Sayang No.24, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117",-7.9770952,112.6241392,0812-3210-8150,http://www.tangganadamusic.com/,-,-,Siang,-,-,-,Hari Kerja,"Selasa	10.00–17.00
Rabu	10.00–17.00
Kamis	10.00–17.00
Jumat	10.00–17.00
Sabtu	10.00–17.00
Minggu	Tutup
Senin	10.00–17.00",Kelas,15 Orang
